사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-22,3호선,309,지축,6,0,2510,822,8762,6437,23428,4335,22898,4712,11883,3768,7910,3160,7197,3917,6627,4785,6673,4888,6057,5205,7582,6386,10291,8665,8115,10652,5231,19343,3385,15058,2436,9718,1680,8348,1323,8629,442,4147,1,16,1,3,0,0,0,0
Jun-22,3호선,310,구파발,99,2,10568,1309,32271,9649,84662,22771,73761,30092,42823,25809,30819,26597,28536,24289,29929,25329,28284,26912,28958,28198,30988,28320,37046,34186,36924,42709,30159,69365,19228,58387,16173,33387,13572,31377,11542,26324,2595,24839,11,5522,0,8,0,0,0,0
Jun-22,3호선,311,연신내,303,17,27203,1931,52583,11959,128084,23807,144109,35291,85403,34745,58243,33752,52881,34753,58214,38547,51747,43257,48056,43403,48562,52861,59143,64547,51159,82494,46686,127856,32418,111868,26622,62486,24015,61678,20163,54456,7220,38306,306,5772,1,6,0,0,0,0
Jun-22,3호선,312,불광,27,0,9359,1182,19247,6164,50637,11143,58072,31862,33993,29248,24868,24015,23478,22920,24494,25212,25057,28328,24687,26541,26169,28575,28015,32659,29634,38748,29628,55556,17102,44799,13945,27269,11066,24202,7850,21548,2705,14541,12,602,0,0,0,0,0,0
Jun-22,3호선,313,녹번,62,1,9983,747,26504,3924,69220,7568,72935,17698,42540,11089,27124,9436,21866,10522,21931,12114,20024,13127,17195,15058,16297,18264,17178,25986,18077,34393,19645,56669,9463,48040,7368,28937,6119,25958,4405,24274,1360,16287,7,154,0,0,0,0,0,0
Jun-22,3호선,314,홍제,78,0,10096,1377,24865,7870,62264,11444,68282,25178,42653,19370,30551,17491,28088,16451,30421,19342,26585,21390,24397,22301,24404,26921,26514,33566,27112,39973,25642,58709,14009,47522,11149,28489,9419,27336,6676,23714,2143,16173,1,38,1,0,0,0,0,0
Jun-22,3호선,315,무악재,18,0,1837,344,5421,3378,13583,2982,16103,5793,10012,3941,7076,3750,6423,3562,5826,3862,5386,4633,5003,4681,4813,5906,5889,7590,6561,9089,6853,14202,2808,11400,2126,7253,1868,7003,1362,6278,463,4365,2,13,0,1,0,0,0,0
Jun-22,3호선,316,독립문,136,3,5048,751,6103,5144,14911,14255,17637,20134,13910,16403,12549,14164,11925,11246,13559,11014,12847,11519,13195,10861,14056,11492,16282,12759,15394,14044,15288,15820,8001,12586,5730,8237,4910,7559,3181,7092,997,4886,8,4536,0,0,0,0,0,0
Jun-22,3호선,317,경복궁(정부서울청사),81,0,2459,1623,6141,16606,13429,43204,20122,130742,19964,95932,19224,73119,26002,61482,35400,53503,45118,50393,54507,47248,62113,37659,69826,37878,82352,31910,109677,32742,47156,19917,37603,11331,36065,10493,24817,9321,8423,6051,9,517,0,0,0,0,0,0
Jun-22,3호선,318,안국,32,0,1641,1538,3211,23161,5934,91130,9371,105506,9992,69365,10936,51318,17718,54755,27908,47274,32085,43680,41857,41049,54505,31308,75394,29520,107932,27582,109379,24929,46974,12367,40345,6588,37399,5545,22160,4544,6170,3062,6,99,0,0,0,0,0,0
Jun-22,3호선,319,종로3가,38,1,883,993,1104,5763,1594,15341,2426,43220,3478,42159,5530,31996,8641,25858,10283,23571,11998,21350,14342,20841,17891,18858,20678,17645,29357,17410,49563,17291,29630,9661,18094,5000,19960,3747,16845,2641,6832,1967,10,415,2,2,0,1,0,0
Jun-22,3호선,320,을지로3가,32,0,657,990,986,9200,2037,31715,3609,72449,4779,29787,6014,14830,8378,12871,9715,12455,11386,12540,13271,11013,14637,10980,17910,11693,38015,15453,63122,18242,24656,9806,17733,4832,18476,3668,16197,2518,8354,1966,18,169,0,0,0,0,0,0
Jun-22,3호선,321,충무로,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,4,0,0,0,5,0,8,0,1,0,2,0,1,0,5,0,5,0,1,0,0,0,0,0,0,0
Jun-22,3호선,322,동대입구,20,2,1814,1074,2818,9493,6135,15593,7769,47220,6714,33749,6681,21050,9321,17897,9938,16087,11929,16375,15757,14650,15528,11180,19030,12888,27170,14993,43030,14935,18072,8292,13267,5314,17139,5056,12927,4012,3775,2594,4,357,2,1,0,0,0,0
Jun-22,3호선,323,약수,95,2,6485,1084,10535,6556,26538,16313,37402,32370,25654,19907,18426,14572,17816,14662,19472,14819,19338,15395,18111,16504,19111,18531,23165,23007,25459,27724,32166,40282,17446,25792,14157,17479,14515,16504,11230,16042,4430,9517,64,2986,0,2,0,0,0,0
Jun-22,3호선,324,금호,11,0,4678,583,10058,2979,26063,4489,34908,8342,21648,6235,14600,6551,12319,6756,12265,7948,11272,9387,9795,10179,9880,12773,11041,14159,11261,19703,11080,28864,7334,19759,5461,13852,4363,12494,3561,12661,1233,6570,0,21,0,0,0,0,0,0
