날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2022-02-21,14,23,35,51,18,16,54,53,51,61,12,18
2022-02-22,38,29,31,61,16,7,40,35,67,59,15,20
2022-02-23,38,21,30,59,20,18,36,35,64,56,14,23
2022-02-24,28,20,30,56,20,31,40,48,33,38,11,18
2022-02-25,3,26,31,46,18,16,42,23,49,46,14,18
2022-02-26,14,14,31,56,10,40,12,40,58,31,11,21
2022-02-27,10,17,30,33,14,22,24,44,59,46,18,18
2022-02-28,10,28,34,46,27,20,40,41,44,47,21,27
2022-03-01,7,26,38,40,22,36,18,28,56,72,23,18
2022-03-02,83,56,63,59,77,18,32,70,76,59,83,28
2022-03-03,45,87,85,83,91,25,70,69,88,63,84,23
2022-03-04,24,71,74,52,78,44,54,100,84,56,65,47
2022-03-05,7,78,57,63,56,18,16,70,62,49,40,44
2022-03-06,17,49,45,62,54,47,24,74,84,48,43,62
2022-03-07,28,100,90,88,97,38,38,77,88,52,100,38
2022-03-08,14,86,87,77,100,78,22,80,82,49,94,28
2022-03-09,21,54,72,53,52,31,26,53,69,40,49,18
2022-03-10,66,72,100,86,67,51,32,78,62,48,58,40
2022-03-11,28,68,84,100,54,51,22,73,62,49,46,55
2022-03-12,31,47,52,44,32,35,6,34,59,37,25,34
2022-03-13,17,51,43,55,30,42,22,40,53,42,28,27
2022-03-14,31,49,90,80,44,31,22,56,86,65,48,37
2022-03-15,28,47,55,80,46,44,64,47,63,66,37,49
2022-03-16,10,40,57,64,36,87,22,78,82,56,37,49
2022-03-17,34,43,44,55,31,31,36,59,66,62,27,42
2022-03-18,7,38,36,48,25,55,74,65,65,50,21,55
2022-03-19,48,23,43,47,17,9,30,31,60,29,10,31
2022-03-20,17,19,35,34,15,33,50,30,40,37,18,29
2022-03-21,76,47,55,74,25,40,14,53,74,64,28,46
2022-03-22,10,35,43,55,26,25,28,45,100,44,20,31
2022-03-23,17,38,52,67,20,35,78,49,62,56,21,55
2022-03-24,72,25,33,44,25,22,58,40,64,49,16,22
2022-03-25,10,24,43,65,20,29,42,38,64,37,14,41
