네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 30대

"날짜","패션의류","패션잡화","화장품/미용"
"2022-05-08",50,62,13
"2022-05-09",45,56,14
"2022-05-10",45,54,14
"2022-05-11",46,54,13
"2022-05-12",40,48,13
"2022-05-13",34,43,11
"2022-05-14",38,47,10
"2022-05-15",49,59,13
"2022-05-16",47,57,14
"2022-05-17",47,56,14
"2022-05-18",45,53,13
"2022-05-19",40,49,12
"2022-05-20",36,45,11
"2022-05-21",38,47,10
"2022-05-22",52,60,13
"2022-05-23",49,56,14
"2022-05-24",49,55,14
"2022-05-25",48,53,13
"2022-05-26",41,49,12
"2022-05-27",36,44,10
"2022-05-28",37,46,10
"2022-05-29",50,58,12
"2022-05-30",44,55,13
"2022-05-31",39,49,12
"2022-06-01",50,60,14
"2022-06-02",41,52,14
"2022-06-03",36,46,12
"2022-06-04",38,48,11
"2022-06-05",42,55,12
"2022-06-06",49,60,14
"2022-06-07",43,55,15
"2022-06-08",41,53,15
"2022-06-09",38,50,13
"2022-06-10",33,43,11
"2022-06-11",34,46,11
"2022-06-12",46,57,13
"2022-06-13",43,55,14
"2022-06-14",41,53,13
"2022-06-15",39,51,13
"2022-06-16",36,47,12
"2022-06-17",32,42,11
"2022-06-18",34,45,11
"2022-06-19",44,55,13
"2022-06-20",44,54,14
"2022-06-21",45,51,14
"2022-06-22",44,50,13
"2022-06-23",38,50,12
"2022-06-24",32,44,11
"2022-06-25",35,46,10
"2022-06-26",45,58,13
"2022-06-27",43,57,14
"2022-06-28",42,52,13
"2022-06-29",40,52,13
"2022-06-30",37,52,12
"2022-07-01",33,45,12
"2022-07-02",37,48,11
"2022-07-03",49,60,14
"2022-07-04",46,57,15
"2022-07-05",45,54,14
"2022-07-06",43,53,14
"2022-07-07",40,48,13
"2022-07-08",33,43,11
"2022-07-09",36,46,11
